Position,Track Name,Artist,Streams,URL,Date
1,In My Feelings,Drake,343455,https://open.spotify.com/track/2G7V7zsVDxg1yRsu7Ew9RJ,2018-07-28
2,Girls Like You (feat. Cardi B),Maroon 5,191199,https://open.spotify.com/track/7fa9MBXhVfQ8P8Df9OEbD8,2018-07-28
3,Kathang Isip,Ben&Ben,153531,https://open.spotify.com/track/3WUEs51GpcvlgU7lehLgLh,2018-07-28
4,Mundo,IV Of Spades,151521,https://open.spotify.com/track/4u8RkgV6P4TLi89SmlUtv8,2018-07-28
5,2002,Anne-Marie,147568,https://open.spotify.com/track/6SFStUDQZNaGPKWOx9ZiJB,2018-07-28
6,Thru These Tears,LANY,147391,https://open.spotify.com/track/4gB61mP4tNChn4LgfquMhi,2018-07-28
7,'Di Na Muli,Janine Teñoso,144695,https://open.spotify.com/track/3VQb0rq27GPX92X53Ni1Lc,2018-07-28
8,Rise,Jonas Blue,141137,https://open.spotify.com/track/3u1S1OmAUhx5DRlLrXqyp3,2018-07-28
9,DDU-DU DDU-DU - KR Ver.,BLACKPINK,132205,https://open.spotify.com/track/2CWnuF7ht55Ajyeg4WPvWu,2018-07-28
10,Tagpuan,Moira Dela Torre,124462,https://open.spotify.com/track/0ztDBQdQmdVZvorSmIjMih,2018-07-28
11,God is a woman,Ariana Grande,121679,https://open.spotify.com/track/7gkWXbAxIYuvtOpcN3p9GJ,2018-07-28
12,BBoom BBoom,MOMOLAND,114277,https://open.spotify.com/track/3BPoSr2pO34Aan6alFfVto,2018-07-28
13,Kung 'Di Rin Lang Ikaw,December Avenue,110815,https://open.spotify.com/track/2BgD4nRyx9EZ5o8YEnjRSV,2018-07-28
14,Eastside (with Halsey & Khalid),benny blanco,108818,https://open.spotify.com/track/0d2iYfpKoM0QCKvcLCkBao,2018-07-28
15,BAAM,MOMOLAND,102616,https://open.spotify.com/track/4Is1b37KJY9XVCgzp81FBW,2018-07-28
16,Ocean (feat. Khalid),Martin Garrix,99134,https://open.spotify.com/track/3nc420PXjTdBV5TN0gCFkS,2018-07-28
17,Freaky Friday (feat. Chris Brown),Lil Dicky,96932,https://open.spotify.com/track/10Igtw8bSDyyFs7KIsKngZ,2018-07-28
18,Sa Ngalan Ng Pag-Ibig,December Avenue,94527,https://open.spotify.com/track/00mBzIWv5gHOYxwuEJXjOG,2018-07-28
19,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,93366,https://open.spotify.com/track/4hQ6UGyWQIGJmHSo0J88JW,2018-07-28
20,Nadarang,Shanti Dope,88657,https://open.spotify.com/track/6LJ1p1h5EcMK4VPeCLDSoF,2018-07-28
21,I'm a Mess,Bebe Rexha,86679,https://open.spotify.com/track/04ZTP5KsCypmtCmQg5tH9R,2018-07-28
22,Enemies,Lauv,84669,https://open.spotify.com/track/3JJYIoJ5FyY9E0DGjr7SXF,2018-07-28
23,IDGAF,Dua Lipa,79061,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-07-28
24,The Middle,Zedd,76400,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2018-07-28
25,Solo (feat. Demi Lovato),Clean Bandit,74972,https://open.spotify.com/track/6kPJZM97LwdG9QIsT7khp6,2018-07-28
26,13,LANY,73546,https://open.spotify.com/track/0WOvSEVpUGkNufX0w0M06F,2018-07-28
27,Bed (feat. Ariana Grande),Nicki Minaj,73461,https://open.spotify.com/track/1ZEm9cJC05rawV2tptNfTS,2018-07-28
28,Lucid Dreams,Juice WRLD,71881,https://open.spotify.com/track/0s3nnoMeVWz3989MkNQiRf,2018-07-28
29,Happier,Ed Sheeran,70851,https://open.spotify.com/track/2RttW7RAu5nOAfq6YFvApB,2018-07-28
30,Youngblood,5 Seconds of Summer,70556,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE,2018-07-28
31,No Brainer,DJ Khaled,69459,https://open.spotify.com/track/5WvAo7DNuPRmk4APhdPzi8,2018-07-28
32,Let Me,ZAYN,67706,https://open.spotify.com/track/7Fg342AJtNsIDdwCfX0paC,2018-07-28
33,no tears left to cry,Ariana Grande,67181,https://open.spotify.com/track/5SxkdsY1ufZzoq9iXceLw9,2018-07-28
34,Connection,OneRepublic,66290,https://open.spotify.com/track/3T4UodGkfZObJ43RtA5KFU,2018-07-28
35,Don’t Matter To Me (with Michael Jackson),Drake,65831,https://open.spotify.com/track/6G8kHiVZ1jW7vHMPVRNZU0,2018-07-28
36,Tadhana,Up Dharma Down,65782,https://open.spotify.com/track/6NFKf8vBApSvtzkapYmnVR,2018-07-28
37,Playinwitme (feat. Kehlani),KYLE,65277,https://open.spotify.com/track/4F1yvJfQ7gJkrcgFJQDjOr,2018-07-28
38,Tagu-Taguan,Moira Dela Torre,63646,https://open.spotify.com/track/2iOnWSWcChoGmUufbrQ00e,2018-07-28
39,Born To Be Yours,Kygo,63266,https://open.spotify.com/track/0kHyKhJMukHEPfeh8s7rdM,2018-07-28
40,Migraine,Moonstar88,63206,https://open.spotify.com/track/7sW3f7PqDV7BQ7qqeVBJIA,2018-07-28
