date,position,track_id,track_name,artist,streams
2018-08-01,1,2G7V7zsVDxg1yRsu7Ew9RJ,In My Feelings,Drake,301760
2018-08-01,2,7fa9MBXhVfQ8P8Df9OEbD8,Girls Like You (feat. Cardi B),Maroon 5,198874
2018-08-01,3,4gB61mP4tNChn4LgfquMhi,Thru These Tears,LANY,161661
2018-08-01,4,3WUEs51GpcvlgU7lehLgLh,Kathang Isip,Ben&Ben,159804
2018-08-01,5,4u8RkgV6P4TLi89SmlUtv8,Mundo,IV Of Spades,156018
2018-08-01,6,3VQb0rq27GPX92X53Ni1Lc,'Di Na Muli,Janine Teñoso,144964
2018-08-01,7,6SFStUDQZNaGPKWOx9ZiJB,2002,Anne-Marie,143684
2018-08-01,8,3u1S1OmAUhx5DRlLrXqyp3,Rise,Jonas Blue,130468
2018-08-01,9,2BgD4nRyx9EZ5o8YEnjRSV,Kung 'Di Rin Lang Ikaw,December Avenue,126195
2018-08-01,10,2CWnuF7ht55Ajyeg4WPvWu,DDU-DU DDU-DU - KR Ver.,BLACKPINK,123778
2018-08-01,11,0ztDBQdQmdVZvorSmIjMih,Tagpuan,Moira Dela Torre,122309
2018-08-01,12,5WvAo7DNuPRmk4APhdPzi8,No Brainer,DJ Khaled,120463
2018-08-01,13,7gkWXbAxIYuvtOpcN3p9GJ,God is a woman,Ariana Grande,116057
2018-08-01,14,0d2iYfpKoM0QCKvcLCkBao,Eastside (with Halsey & Khalid),benny blanco,114950
2018-08-01,15,00mBzIWv5gHOYxwuEJXjOG,Sa Ngalan Ng Pag-Ibig,December Avenue,108106
2018-08-01,16,3nc420PXjTdBV5TN0gCFkS,Ocean (feat. Khalid),Martin Garrix,102045
2018-08-01,17,3BPoSr2pO34Aan6alFfVto,BBoom BBoom,MOMOLAND,97276
2018-08-01,18,4hQ6UGyWQIGJmHSo0J88JW,Back To You - From 13 Reasons Why – Season 2 Soundtrack,Selena Gomez,96448
2018-08-01,19,4Is1b37KJY9XVCgzp81FBW,BAAM,MOMOLAND,93419
2018-08-01,20,10Igtw8bSDyyFs7KIsKngZ,Freaky Friday (feat. Chris Brown),Lil Dicky,93272
2018-08-01,21,3JJYIoJ5FyY9E0DGjr7SXF,Enemies,Lauv,91751
2018-08-01,22,4keoy2fqgwGnbWlm3ZVZFa,Happy Now,Zedd,91641
2018-08-01,23,04ZTP5KsCypmtCmQg5tH9R,I'm a Mess,Bebe Rexha,90698
2018-08-01,24,6LJ1p1h5EcMK4VPeCLDSoF,Nadarang,Shanti Dope,84728
2018-08-01,25,76cy1WJvNGJTj78UqeA5zr,IDGAF,Dua Lipa,81318
2018-08-01,26,3T4UodGkfZObJ43RtA5KFU,Connection,OneRepublic,77820
2018-08-01,27,2RttW7RAu5nOAfq6YFvApB,Happier,Ed Sheeran,76019
2018-08-01,28,09IStsImFySgyp0pIQdqAc,The Middle,Zedd,74338
2018-08-01,29,0WOvSEVpUGkNufX0w0M06F,13,LANY,73953
2018-08-01,30,54l9GJGQ1UCFKe2tzt1Vxt,Only You (with Little Mix),Cheat Codes,73435
2018-08-01,31,6kPJZM97LwdG9QIsT7khp6,Solo (feat. Demi Lovato),Clean Bandit,73160
2018-08-01,32,6NFKf8vBApSvtzkapYmnVR,Tadhana,Up Dharma Down,72177
2018-08-01,33,0kHyKhJMukHEPfeh8s7rdM,Born To Be Yours,Kygo,71183
2018-08-01,34,2iUXsYOEPhVqEBwsqP70rE,Youngblood,5 Seconds of Summer,70947
2018-08-01,35,1ZEm9cJC05rawV2tptNfTS,Bed (feat. Ariana Grande),Nicki Minaj,68128
2018-08-01,36,5SxkdsY1ufZzoq9iXceLw9,no tears left to cry,Ariana Grande,68124
2018-08-01,37,5uCax9HTNlzGybIStD3vDh,Say You Won't Let Go,James Arthur,66012
2018-08-01,38,2iOnWSWcChoGmUufbrQ00e,Tagu-Taguan,Moira Dela Torre,65844
2018-08-01,39,1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,Sam Smith,65522
2018-08-01,40,4F1yvJfQ7gJkrcgFJQDjOr,Playinwitme (feat. Kehlani),KYLE,63962
2018-08-01,41,0s3nnoMeVWz3989MkNQiRf,Lucid Dreams,Juice WRLD,63371
