artist_id,artist_name,total_followers,genres,popularity
4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,18078605,"['dance pop', 'pop', 'post-teen pop']",87
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,69753264,"['pop', 'uk pop']",93
04gDigrS5kc9YWfZHwBETP,Maroon 5,26892218,"['pop', 'pop rock']",90
2wY79sveU1sp5g7SokKOiI,Sam Smith,13815441,"['pop', 'post-teen pop', 'uk pop']",89
6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,19536508,"['dance pop', 'pop', 'uk pop']",93
6LuN9FCkKOj5PcnpouEgny,Khalid,12515504,"['alternative r&b', 'pop']",93
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4963458,['opm'],70
0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,22635265,"['dance pop', 'pop', 'post-teen pop']",90
49tQo2QULno7gxHutgccqF,LANY,2816148,"['la pop', 'pop']",80
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,6095607,"['dance pop', 'pop', 'post-teen pop']",80
5JZ7CnR6gTvEMKX4g70Amv,Lauv,3393728,"['pop', 'post-teen pop']",87
64M6ah0SkkRsnPGtGiRAbb,Bebe Rexha,5587084,"['dance pop', 'electropop', 'pop', 'post-teen pop']",84
2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,1727571,"['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']",60
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,11366376,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",84
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,2914329,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']",82
5pUo3fmmHT8bhCyHE52hA6,Liam Payne,6242602,"['dance pop', 'pop', 'post-teen pop']",77
6fOMl44jA4Sp5b9PpYCkzz,NF,4203677,"['hip hop', 'pop rap', 'rap']",85
0uGk2czvcpWQA383Im6ajf,Maggie Lindemann,1207721,"['dance pop', 'pop', 'post-teen pop', 'social media pop']",73
7dGJo4pcD2V6oG8kP0tJRR,Eminem,38007224,"['detroit hip hop', 'hip hop', 'rap']",93
0XOSmu9Qn1agQULUVe0dAK,Inigo Pascual,362023,['opm'],55
6MDME20pz9RveH9rEXvrOM,Clean Bandit,3978164,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",82
0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,5070512,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",87
53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,29832068,"['modern rock', 'pop', 'rock']",89
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,16717224,"['dance pop', 'edm', 'electropop', 'pop', 'tropical house']",86
4IWBUUAFIplrNtaOHcJPRM,James Arthur,6580111,"['pop', 'post-teen pop', 'talent show', 'uk pop']",85
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,12887341,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",83
1vCWHaC5f2uS3yhpwWbIA6,Avicii,18162223,"['big room', 'dance pop', 'edm', 'pop']",85
4V8Sr092TqfHkfAA5fXXqG,Luis Fonsi,8782449,"['latin', 'latin pop', 'puerto rican pop', 'tropical']",80
540vIaP2JwjQb9dm3aArA4,DJ Snake,7024847,"['dance pop', 'edm', 'electro house', 'electronic trap', 'pop']",83
57WHJIHrjOE3iAxpihhMnp,Louis Tomlinson,3827012,"['pop', 'post-teen pop']",77
1mcqfNCReSFxun2vIWvC28,KZ Tandingan,538869,['opm'],60
6S2OmqARrzebs0tKUEyXyp,Demi Lovato,18019143,"['dance pop', 'pop', 'post-teen pop']",86
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,13674134,"['big room', 'edm', 'electro house', 'pop', 'progressive house', 'tropical house']",84
0xNog7ZdcTq9sJFiIXJJTH,Kaye Cal,338210,['opm'],53
246dkjvS1zLTtiykXe5h60,Post Malone,28234721,"['dfw rap', 'melodic rap', 'rap']",94
7DMveApC7UnC2NPfPvlHSU,Cheat Codes,1692342,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']",79
1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,5927792,"['dance pop', 'pop', 'post-teen pop']",83
2JEIN1g27pZdm3hKB9EwE5,Mark Carpio,113775,['opm'],56
3wbCeEPAW6po7J46netxMT,Up Dharma Down,597735,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",59
6Dd3NScHWwnW6obMFbl1BH,Daya,1132133,"['dance pop', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house']",76
2oX42qP5ineK3hrhBECLmj,Andy Grammer,831621,"['dance pop', 'modern rock', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",77
7vk5e3vY1uw9plTHJAMwjN,Alan Walker,23883384,['electro house'],86
23fqKkggKUBHNkbKtXEls4,Kygo,6735189,"['edm', 'pop', 'tropical house']",89
3Nrfpe0tUJi4K4DXYWgMUX,BTS,22907411,"['k-pop', 'k-pop boy group']",97
02kJSzxNuaWGqwubyUba0Z,G-Eazy,4592249,"['hip hop', 'indie pop rap', 'oakland hip hop', 'pop rap', 'rap']",85
5lXfVoQxVgC5fpjkVqvNYn,Isaiah Firebrace,46952,['australian pop'],58
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1817521,"['classic opm', 'opm', 'pinoy indie', 'pinoy rock']",64
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,26727954,"['dance pop', 'pop']",89
0jKQrxK2zHqxyOAyIMrUQt,SUD,253323,"['opm', 'pinoy indie', 'pinoy rock']",56
64KEffDW9EtZ1y2vBYgq8T,Marshmello,26727460,"['brostep', 'pop', 'progressive electro house']",91
2qxJFvFYMEDqd7ui6kSAcq,Zedd,5198688,"['complextro', 'dance pop', 'edm', 'electro house', 'electropop', 'german techno', 'pop', 'post-teen pop', 'tropical house']",82
1YlibpAvhJBbMZMBwN1KGv,The Juans,369916,"['opm', 'pinoy indie']",63
5CCwRZC6euC8Odo6y9X8jr,Rita Ora,6029175,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk pop']",80
07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,8205991,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",91
3wyVrVrFCkukjdVIdirGVY,Lil Pump,7234582,"['emo rap', 'miami hip hop', 'rap', 'trap']",77
1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,21510969,"['dance pop', 'edm', 'pop']",88
1t2caVgyabZrVDAlmMGraV,Michael Pangilinan,1069139,['opm'],61
2kZThDGZcHl4klYYFk0v8n,Moonstar88,536416,"['classic opm', 'opm', 'pinoy indie', 'pinoy rock', 'pop rock']",55
4gzpq5DPGxSnKTe4SA8HAU,Coldplay,27124136,"['permanent wave', 'pop']",89
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,28980777,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",88
4BNWanhw4AjSXjBm9L1Jzy,Juris,465205,"['classic opm', 'opm']",59
6cEuCEZu7PAE9ZSzLLc2oQ,R3HAB,2055075,"['big room', 'dutch house', 'edm', 'electro house', 'pop', 'progressive electro house', 'tropical house']",84
02A3cEvlLLCbIMVDrK2GHV,Starley,106139,"['aussietronica', 'tropical house']",64
2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,15487986,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",90
06HL4z0CvFAxyc27GXpf02,Taylor Swift,32375852,"['dance pop', 'pop']",97
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,2477635,"['ohio hip hop', 'pop rap', 'rap']",86
4kYSro6naA4h99UJvo89HB,Cardi B,12598129,"['pop', 'pop rap', 'rap']",92
6Ww3OMFzCaO33ulKh1LBFN,Hale,515289,"['classic opm', 'opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",61
1vg8YXdgvLLPPeXZkM7g5W,Daryl Ong,413808,"['opm', 'pinoy praise']",53
5pKCCKE2ajJHZ9KAiaK11H,Rihanna,39121207,"['barbadian pop', 'dance pop', 'pop', 'post-teen pop', 'r&b', 'urban contemporary']",91
4xRYI6VqpkE3UwrDrAZL8L,Logic,4916479,"['conscious hip hop', 'dmv rap', 'hip hop', 'pop rap', 'rap']",86
7CajNmpbOovFoOoasH2HaY,Calvin Harris,20617263,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'tropical house', 'uk dance']",89
2XnBwblw31dfGnspMIwgWz,Axwell /\ Ingrosso,2172666,"['big room', 'dance pop', 'edm', 'electro house', 'pop', 'tropical house']",72
738wLrAtLtCtFOLvQBXOXp,Major Lazer,6063619,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap']",83
20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2164041,"['canadian contemporary r&b', 'pop']",80
4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,9736692,"['melodic rap', 'philly rap', 'rap', 'trap']",92
0u4G1K1CSzcp5PZ6G6FIGu,Darren Espanto,348522,['opm'],53
7gAppWoH7pcYmphCVTXkzs,The Vamps,3885297,"['boy band', 'dance pop', 'pop', 'post-teen pop']",77
6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,2181789,"['classic opm', 'dance pop', 'opm']",64
5elcNQkZ6FCZA3grSOMngY,MYMP,582593,"['classic opm', 'opm']",64
4NeCu267LZemnoq44lZYKy,Julie Anne San Jose,411621,['opm'],59
21E3waRsmPlU7jZsS13rcj,Ne-Yo,5514407,"['dance pop', 'pop', 'pop rap', 'r&b', 'urban contemporary']",82
2sil8z5kiy4r76CRTXxBCA,The Goo Goo Dolls,1708679,"['alternative rock', 'neo mellow', 'permanent wave', 'pop rock', 'post-grunge']",73
1ZfhyWZ9byvjFKEzBSa81I,Freestyle,52945,[],10
3AQRLZ9PuTAozP28Skbq8V,The Script,6124188,"['celtic rock', 'dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'viral pop']",79
6JL8zeS1NmiOftqZTRgdTz,Meghan Trainor,9513796,"['dance pop', 'hip pop', 'pop', 'post-teen pop']",80
4phGZZrJZRo4ElhRtViYdl,Jason Mraz,5555715,"['acoustic pop', 'neo mellow', 'pop', 'pop rock']",79
2GqX0GnrKdi6Z2X2OReYOK,Piolo Pascual,158261,"['classic opm', 'opm']",50
6ZgBJRjJsK1iOJGKGZxEUv,South Border,592446,"['classic opm', 'dance pop', 'opm', 'pinoy rock']",61
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,718343,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop', 'urban contemporary', 'viral pop']",68
7374lH6kwx9uQATYQ9H3Cp,Eraserheads,1579850,"['classic opm', 'opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock']",65
0ekbDNE2eOq8QiaXM34wer,Howie Day,248606,"['acoustic pop', 'neo mellow', 'pop rock']",61
2G7VQ1kVhVfNagytlousgm,Al James,300100,"['opm', 'pinoy alternative rap', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",58
