track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0ofbQMrRDsUaVKq2mGLEAb,Havana,4nDoRrQiYLoBzwC5BhVJzF,Camila Cabello,5chBPOVY2I0bG5V3igb5QL,216896,2017-08-03,5,0.768,0.517,7,-4.323,0,0.0312,0.186,3.8e-05,0.104,0.418,104.992
0tgVpDi06FyKpA1z0VMD4v,Perfect,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,3T4tUhGYeRNVUGevb0wThu,263400,2017-03-03,86,0.599,0.448,8,-6.312,1,0.0232,0.163,0.0,0.106,0.168,95.05
3hBBKuWJfxlIlnd9QFoC8k,What Lovers Do (feat. SZA),04gDigrS5kc9YWfZHwBETP,Maroon 5,1Jmq5HEJeA9kNi2SgQul4U,199849,2017-11-03,5,0.795,0.615,5,-5.211,0,0.0671,0.0786,2.98e-06,0.0855,0.393,110.009
1mXVgsBdtIVeCLJnSnmtdV,Too Good At Goodbyes,2wY79sveU1sp5g7SokKOiI,Sam Smith,3TJz2UBNYJtlEly0sPeNrQ,201000,2017-11-03,81,0.681,0.372,5,-8.237,1,0.0432,0.64,0.0,0.169,0.476,91.873
2ekn2ttSfGqwhhate0LSR0,New Rules,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,01sfgrNbnnPUEyz6GZYlt9,209320,2017-06-02,81,0.762,0.7,9,-6.021,0,0.0694,0.00261,1.56e-05,0.153,0.608,116.073
5Z3GHaZ6ec9bsiI5BenrbY,Young Dumb & Broke,6LuN9FCkKOj5PcnpouEgny,Khalid,6kf46HbnYCZzP6rjvQHYzg,202546,2017-04-27,82,0.798,0.539,1,-6.351,1,0.0421,0.199,1.66e-05,0.165,0.394,136.949
42nrX5b8ZUYRcw2puNY8tb,Titibo-Tibo,0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,3fohbkMVPOLRdarrknL7QB,202452,2017-10-06,44,0.651,0.421,10,-7.658,1,0.0673,0.855,0.000109,0.0869,0.774,119.866
7EmGUiUaOSGDnUUQUDrOXC,Wolves,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,2pABD3sfXVajKVXw83WMvT,197993,2017-10-25,6,0.715,0.802,11,-4.647,0,0.0394,0.139,0.0,0.177,0.327,124.989
74ODGXs4byLTRdnKGM4s6E,Super Far,49tQo2QULno7gxHutgccqF,LANY,2hVTFTbeg9QhXGZAY99oRa,203650,2017-06-30,2,0.754,0.458,8,-6.852,1,0.144,0.105,0.0,0.249,0.495,96.011
6M21eWbEw74XDdoQsNIinq,Malaya (Camp Sawi Original Motion Picture Soundtrack),0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,52xu8EP3ABmpNk0LUzF3ih,254249,2017-09-18,59,0.374,0.125,7,-14.847,1,0.0383,0.852,4.66e-06,0.321,0.108,114.694
