playlist_id,playlist_names,playlist_total_tracks,owner_id,owner_name,total_followers
37i9dQZF1DXcZQSjptOQtk,Top Hits Philippines,52,spotify,Spotify,3863056
37i9dQZF1DX4olOMiqFeqU,OPM Favorites,50,spotify,Spotify,1983721
37i9dQZF1DX0iFfuXuP4Pm,Tatak Pinoy,60,spotify,Spotify,1286428
37i9dQZF1DX7Jerj8LqApV,OPM Says Chillax,40,spotify,Spotify,1160522
37i9dQZF1DWVjrTQlvqTHF,New Music Friday Philippines,106,spotify,Spotify,635808
37i9dQZF1DWXwcRDYKpcpF,Acoustically OPM,40,spotify,Spotify,565495
37i9dQZF1DWYDQ8wBxd7xt,Pinoy Classic Rock,61,spotify,Spotify,448818
37i9dQZF1DWSjwScXt3ScZ,Pinoy Love Ballads,60,spotify,Spotify,350132
37i9dQZF1DX7JQSRbPlmZT,Pinoy Covers,65,spotify,Spotify,232578
37i9dQZF1DWT4GbvSrNWS6,OPM: Hits of the '00s,40,spotify,Spotify,232026
37i9dQZF1DWZjfM1dX1sWy,This Is Eraserheads,27,spotify,Spotify,224858
37i9dQZF1DWZpPC3clG38j,Pinoy Reggae,31,spotify,Spotify,196303
37i9dQZF1DXbuvqGDV5qgQ,Women of OPM,70,spotify,Spotify,181917
37i9dQZF1DX0oESWhpVpaJ,Best of Manila Sound,40,spotify,Spotify,180220
37i9dQZF1DX53n2vsU9kOm,OPM: Hits of the '90s,35,spotify,Spotify,157201
37i9dQZF1DWZKNkQDWII13,Men of OPM,60,spotify,Spotify,155098
37i9dQZF1DWT1KGzDW6y8x,Pinoy Alt Rock,80,spotify,Spotify,154688
37i9dQZF1DWZaQnTjRLBcl,OPM Workday Marathon,140,spotify,Spotify,146384
37i9dQZF1DX9GXluf5qKxo,Pinoy Rakrakan!,50,spotify,Spotify,139116
37i9dQZF1DWXjlWxUbm84A,Top OPM Artists of 2018,30,spotify,Spotify,131515
46o3Vj0mHd9N6MAwOgTm03,OPM Bands 90's - 00's,348,12141413785,Jerome Afable,131357
37i9dQZF1DX6i41Du3v1cr,OPM: Hits of the '80s,40,spotify,Spotify,90693
37i9dQZF1DWT0w08woPkpO,This Is Sponge Cola,37,spotify,Spotify,75716
37i9dQZF1DWSVQreDCvFMf,OPM Rising,80,spotify,Spotify,54523
5vwEkzy091ZXNLD3eyavbt,Tunog Kalye / Pinoy Rock OPM Bands 90's,167,12143979903,Nivek Z Zeuqracne,44732
61XRCEsdpJJ8QH8XTbY8nN,OPM Love Songs & Covers,91,12138211261,Allene Mei Ignacio,41017
3JJbvzQIi3nVf4qGYpf31J,OPM 2020 Playlist,40,ug6j71o9sf6yb9uofxmnila42,Don,27759
4lObtefEePTCH2st4AdriF,Pinoy Band Opm hits,118,artenian_enney,Artenian Mariano Casulla,21946
2Ryzf9BECIj0fVZJwelmov,OPM Songs 2020 - OPM Love Songs Tagalog Playlist 2020 (New Filipino Song),40,redmusiccompany,redmusiccompany,21328
6RdRQA19jjGHvpzRuZLokC,Opm rock 2000's,316,dancingbunny451,Joven Vite,21296
37i9dQZF1DX5k7rLBXjRX0,Top OPM Artists of 2019,30,spotify,Spotify,20189
37i9dQZF1DX5qf3Iz15QLv,Bago Sa Rap,60,spotify,Spotify,19217
37i9dQZF1DWZIpZ4LZSlUo,Disney Hits Philippines,50,spotify,Spotify,17499
3LNqOl5rIF1zfO8NAhswjq,OPM LOVE SONGS,93,1236257428,Gian Carlo Borbon,17302
6ssHgVFDNaWmXcvFJttFmW,Acoustic OPM,130,ren_x7,Ren Gomez,17106
2jqVgkjhQz3y63W5cJMpvu,New OPM Love Songs 2020 - Tagalog Music Playlist,40,redmusiccompany,redmusiccompany,16392
4jneV6JimNjTUqfr2XSGlV,OPM Lovesongs 80's 90's 20's,285,kikopareja,kikopareja,15709
0fY2Gburuvsk0iQtBc1oQC,OPM Classics,267,nry46oytz4vw2zi1s1xwj7j9y,Ryan Kenneth,14371
6VgO7TCchZrvOS6kWGdOii,Filipino Love Songs ❣️ 🇵🇭  | OPM,108,oy13j90x9sykocejpxq5l84f1,WE:CARE,13842
3smenL5XI0PED9P8PooyKw,OPM Bands 2004-2010,212,12137282458,12137282458,13715
7lqDiNlQSwajoL6CwKefRR,OPM alternative rocks,137,11140940409,Ron Garcia Magcawas,13300
3GGq4AgCWovQf9unH4OeLA,OPM Acoustic/Mellow Rock,179,12161669117,Jhaedz Torres,12940
1W3VYl4ZcOcOOeCly3mg0C,Tagalog' OPM Hits.....,39,22d3yzvl3ja6et2kupmaa3lra,Tolrahc Allertse,12677
3aH7JVuR39qMBzIzkgLzeR,OPM Hits 2020 to 2021,194,r98ont7i3ip7z4dl1hllheog5,Ethan Jan Andino,12322
