artist_id,artist_name,total_followers,genres,popularity
0du5cEVh5yTK9QJze8zA0C,Bruno Mars,24698975,"['dance pop', 'pop', 'post-teen pop']",88
4IWBUUAFIplrNtaOHcJPRM,James Arthur,5758712,"['pop', 'post-teen pop', 'talent show', 'uk pop']",84
69GGBxA162lTqCwzJG5jLp,The Chainsmokers,15863067,"['edm', 'electropop', 'pop', 'tropical house']",87
04gDigrS5kc9YWfZHwBETP,Maroon 5,23598693,"['pop', 'pop rock']",89
5p7f24Rk5HkUZsaS3BLG5F,Hailee Steinfeld,5538332,"['dance pop', 'pop', 'post-teen pop']",79
2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,6984656,"['canadian contemporary r&b', 'canadian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop']",82
540vIaP2JwjQb9dm3aArA4,DJ Snake,6739732,"['dance pop', 'edm', 'electronic trap', 'pop']",83
1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,19880559,"['canadian contemporary r&b', 'canadian pop', 'pop']",98
46GXASE9LHzyssNqKOInUu,Dawin,204322,['nyc pop'],57
738wLrAtLtCtFOLvQBXOXp,Major Lazer,5999947,"['dance pop', 'edm', 'electro house', 'moombahton', 'pop', 'pop rap', 'tropical house']",83
1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,2694114,"['dance pop', 'edm', 'pop', 'tropical house', 'uk dance']",82
6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,1991235,"['pop rap', 'rap']",80
5ZsFI1h6hIdQRw2ti0hz81,ZAYN,11191706,"['dance pop', 'electropop', 'pop', 'post-teen pop', 'uk pop']",82
7gAppWoH7pcYmphCVTXkzs,The Vamps,3496418,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",75
60d24wfXkVzDSfLS6hyCjZ,Martin Garrix,13022507,"['big room', 'edm', 'pop', 'progressive house', 'tropical house']",84
66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,44389431,"['dance pop', 'pop', 'post-teen pop']",91
02A3cEvlLLCbIMVDrK2GHV,Starley,86923,"['aussietronica', 'tropical house']",63
2oX42qP5ineK3hrhBECLmj,Andy Grammer,753906,"['dance pop', 'neo mellow', 'pop', 'pop rap', 'pop rock', 'post-teen pop', 'viral pop']",76
7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,25525259,"['canadian pop', 'dance pop', 'pop', 'post-teen pop', 'viral pop']",89
6MDME20pz9RveH9rEXvrOM,Clean Bandit,3746312,"['dance pop', 'edm', 'pop', 'post-teen pop', 'tropical house', 'uk dance', 'uk funky']",78
0jKQrxK2zHqxyOAyIMrUQt,SUD,234583,"['opm', 'pinoy indie', 'pinoy rock']",55
6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,9955678,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",81
77AiFEVeAVj2ORpC85QVJs,Steve Aoki,3386454,"['big room', 'dance pop', 'edm', 'electro house', 'pop rap', 'tropical house']",80
3e7awlrlDSwF3iM0WBjGMp,Little Mix,7267750,"['dance pop', 'girl group', 'pop', 'post-teen pop', 'talent show', 'uk pop']",82
3iri9nBFs9e4wN7PLIetAw,gnash,1402080,"['pop', 'post-teen pop']",74
31TPClRtHm23RisEBtV3X7,Justin Timberlake,8946496,"['dance pop', 'pop']",83
7iZtZyCzp3LItcw1wtPI3D,Rae Sremmurd,5748702,"['hip hop', 'melodic rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",77
3WGpXCj9YhhfX11TToZcXP,Troye Sivan,4412485,"['australian pop', 'dance pop', 'electropop', 'pop', 'post-teen pop', 'viral pop']",80
3TVXtAsR1Inumwj472S9r4,Drake,45980108,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",97
6Dd3NScHWwnW6obMFbl1BH,Daya,1074504,"['dance pop', 'edm', 'electropop', 'indie poptimism', 'pop', 'post-teen pop', 'tropical house', 'viral pop']",76
7nKeLE1toRtW4M279iS26h,Zay Hilfigerrr,62896,[],49
4nGp682WMiKS4X217kPw8C,Silent Sanctuary,1667633,"['classic opm', 'opm', 'pinoy indie', 'pinoy rock']",63
2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,300025,"['downtempo', 'edm', 'electronic trap', 'electropop', 'pop', 'post-teen pop', 'shiver pop']",62
3tQx1LPXbsYjE9VwN1Peaa,Marc E. Bassy,298688,"['indie poptimism', 'indie r&b', 'pop', 'pop rap', 'post-teen pop', 'rap']",71
6lB8vOoI4DRrrVxXwuV19c,Mike Perry,882006,"['big room', 'dance pop', 'deep pop edm', 'deep tropical house', 'edm', 'electro house', 'pop', 'pop edm', 'swedish tropical house', 'tropical house']",71
50JJSqHUf2RQ9xsHs0KMHg,Jon Bellion,1059625,"['pop', 'pop rap']",76
3wbCeEPAW6po7J46netxMT,Up Dharma Down,552786,"['opm', 'pinoy indie', 'pinoy reggae', 'pinoy rock', 'pop rock']",56
0q4NrXqJnc367PieejuROJ,Vice,17023,['chicano rap'],54
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,62067919,"['pop', 'uk pop']",93
0rZRTXEmmPmx6gt92tBqIc,Moira Dela Torre,4435555,['opm'],71
3r3Rkuc4jmZHXgchgaXwnv,Z,40,[],44
15NtJjjHRFybdNSMyM9smT,Nevada,11580,[],51
