track_id,track_name,artist_id,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
2rk5DdEFF6wJ13Wrwm2sy6,00:00 (Zero O’Clock),3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,250295,2020-02-21,46,0.566,0.548,1,-6.456,1,0.0579,0.0802,0.0,0.11,0.196,157.999
1TEEi8aHzb4tGcLJdsepb1,My Time,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,234457,2020-02-21,46,0.674,0.64,0,-5.139,0,0.0339,0.151,0.0,0.0925,0.664,99.908
15xT6IkTumRGbbSim0t11u,Louder than bombs,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,217404,2020-02-21,45,0.643,0.667,0,-6.993,0,0.152,0.0433,0.0,0.0904,0.485,145.999
1aKuG1GG76xPLUkjBbQo3W,UGH!,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,225012,2020-02-21,80,0.72,0.824,10,-5.086,0,0.128,0.0394,0.0,0.0509,0.333,165.998
5LCP80MqF8AqHi0WZZGuwJ,Friends,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,199338,2020-02-21,46,0.55,0.747,1,-5.211,1,0.0407,0.0668,0.0,0.0536,0.648,79.98
3bSrpGWHrMlwZ0TdBMXv1p,Inner Child,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,233265,2020-02-21,45,0.589,0.696,11,-7.981,1,0.0725,0.017,0.0,0.0808,0.332,134.953
1xfXXujIlLZAx5wpu46Nyk,Moon,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,208589,2020-02-21,78,0.703,0.646,6,-6.658,1,0.0596,0.0104,0.0,0.191,0.64,141.87
3bHKTyjnhkhCOpTDYTMZmN,We are Bulletproof : the Eternal,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,261542,2020-02-21,44,0.526,0.575,9,-5.215,0,0.0309,0.225,0.0,0.108,0.19,84.047
07KegcFokV4bBD1GvO1j6L,Respect,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,237540,2020-02-21,43,0.661,0.84,0,-4.805,1,0.116,0.00485,0.0,0.287,0.524,91.457
2Nib4r0saYQf2pUV4RFDhl,Interlude : Shadow,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:6mJZTV8lCqnwftYZa94bXS,259821,2020-02-21,78,0.385,0.798,9,-6.439,0,0.483,0.115,0.0,0.181,0.141,149.756
2ezpl1QGsrICxQwl039Yoe,Outro : Ego,3Nrfpe0tUJi4K4DXYWgMUX,spotify:album:7HXqq0fokRpOKG0bQW4xnB,196198,2020-02-21,43,0.808,0.903,0,-3.106,1,0.0958,0.0121,0.000233,0.0993,0.473,116.988
