Position,Track Name,Artist,Streams,URL,Date,Region
1,Hayaan Mo Sila,Ex Battalion,231166,https://open.spotify.com/track/7MrDfa1uQGVXx0JMZ2u5tN,2018-02-01,ph
2,IDGAF,Dua Lipa,196134,https://open.spotify.com/track/76cy1WJvNGJTj78UqeA5zr,2018-02-01,ph
3,Havana (feat. Young Thug),Camila Cabello,175360,https://open.spotify.com/track/1rfofaqEpACxVEHIZBJe6W,2018-02-01,ph
4,Finesse - Remix; feat. Cardi B,Bruno Mars,147472,https://open.spotify.com/track/3Vo4wInECJQuz9BIBMOu8i,2018-02-01,ph
5,Perfect,Ed Sheeran,145228,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v,2018-02-01,ph
6,Too Good At Goodbyes,Sam Smith,141461,https://open.spotify.com/track/1mXVgsBdtIVeCLJnSnmtdV,2018-02-01,ph
7,Never Be the Same,Camila Cabello,141310,https://open.spotify.com/track/4eWQlBRaTjPPUlzacqEeoQ,2018-02-01,ph
8,"Dying Inside To Hold You - From "" All Of You"" Official Soundtrack",Darren Espanto,134321,https://open.spotify.com/track/0qt9ivU6UEP3YdNUiZsnYR,2018-02-01,ph
9,What Lovers Do (feat. SZA),Maroon 5,128113,https://open.spotify.com/track/3hBBKuWJfxlIlnd9QFoC8k,2018-02-01,ph
10,Super Far,LANY,125195,https://open.spotify.com/track/74ODGXs4byLTRdnKGM4s6E,2018-02-01,ph
11,I Like Me Better,Lauv,122748,https://open.spotify.com/track/1wjzFQodRWrPcQ0AnYnvQ9,2018-02-01,ph
12,New Rules,Dua Lipa,117111,https://open.spotify.com/track/2ekn2ttSfGqwhhate0LSR0,2018-02-01,ph
13,"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,116907,https://open.spotify.com/track/5AEtlRudpgdT5FtNiuly6Y,2018-02-01,ph
14,Meant to Be (feat. Florida Georgia Line),Bebe Rexha,115592,https://open.spotify.com/track/7iDa6hUg2VgEL1o1HjmfBn,2018-02-01,ph
15,Malaya (Camp Sawi Original Motion Picture Soundtrack),Moira Dela Torre,110744,https://open.spotify.com/track/6M21eWbEw74XDdoQsNIinq,2018-02-01,ph
16,Titibo-Tibo,Moira Dela Torre,110104,https://open.spotify.com/track/42nrX5b8ZUYRcw2puNY8tb,2018-02-01,ph
17,Wolves,Selena Gomez,109721,https://open.spotify.com/track/7EmGUiUaOSGDnUUQUDrOXC,2018-02-01,ph
18,Young Dumb & Broke,Khalid,106738,https://open.spotify.com/track/5Z3GHaZ6ec9bsiI5BenrbY,2018-02-01,ph
19,All The Stars (with SZA),Kendrick Lamar,97609,https://open.spotify.com/track/12SJpYZEdj4kzWZ8FPFg4Y,2018-02-01,ph
20,"Torete - From ""Love You to the Stars And Back""",Moira Dela Torre,93784,https://open.spotify.com/track/4aUf4lzQ1di5JajZ4a9FuI,2018-02-01,ph
21,Let You Down,NF,88085,https://open.spotify.com/track/6mrKP2jyIQmM0rw6fQryjr,2018-02-01,ph
22,River (feat. Ed Sheeran),Eminem,86211,https://open.spotify.com/track/5UEnHoDYpsxlfzWLZIc7LD,2018-02-01,ph
23,The Middle,Zedd,85033,https://open.spotify.com/track/09IStsImFySgyp0pIQdqAc,2018-02-01,ph
24,Rewrite The Stars,Zac Efron,84116,https://open.spotify.com/track/630sXRhIcfwr2e4RdNtjKN,2018-02-01,ph
25,"Sundo - From ""The Good Son""",Moira Dela Torre,83766,https://open.spotify.com/track/1WtpRQUvbyZAoEchymInA9,2018-02-01,ph
26,I Miss You (feat. Julia Michaels),Clean Bandit,82283,https://open.spotify.com/track/2xmrfQpmS2iJExTlklLoAL,2018-02-01,ph
27,Why Can't It Be,Kaye Cal,80072,https://open.spotify.com/track/0zFYa7NIpKhmom8zrZx7Ga,2018-02-01,ph
28,How Long,Charlie Puth,79316,https://open.spotify.com/track/32DGGj6KlNuBr6WaqRxpxi,2018-02-01,ph
29,Mama,Jonas Blue,77387,https://open.spotify.com/track/0NiXXAI876aGImAd6rTj8w,2018-02-01,ph
30,"Two Less Lonely People in the World (Official Movie Theme Song Of ""Kita Kita"")",KZ Tandingan,76793,https://open.spotify.com/track/46ixegtxjERQMCutmp09Sa,2018-02-01,ph
31,Say You Won't Let Go,James Arthur,75730,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh,2018-02-01,ph
32,Dahil Sa'Yo,Inigo Pascual,75036,https://open.spotify.com/track/4ai7c2BUjNpElhZdZDH7qF,2018-02-01,ph
33,God's Plan,Drake,74601,https://open.spotify.com/track/2XW4DbS6NddZxRPm5rMCeY,2018-02-01,ph
34,Thunder,Imagine Dragons,74073,https://open.spotify.com/track/0tKcYR2II1VCQWT79i5NrW,2018-02-01,ph
35,Paris in the Rain,Lauv,73939,https://open.spotify.com/track/0RGUIOZtmOXTWOy5EjvQbP,2018-02-01,ph
36,Pretty Girl - Cheat Codes X CADE Remix,Maggie Lindemann,73577,https://open.spotify.com/track/1NDxZ7cFAo481dtYWdrUnR,2018-02-01,ph
