Position,Track Name,Artist,Streams,URL,Date
1,How You Like That,BLACKPINK,251329,https://open.spotify.com/track/3vAn0qZzdyuHamcrpkfiX3,2020-07-15
2,Marikit,Juan Caoile,229400,https://open.spotify.com/track/4nd9cEo5R4jGNcgPHDm7Ar,2020-07-15
3,Beautiful Scars,Maximillian,203669,https://open.spotify.com/track/4kS01K2URu522IomkGOFHl,2020-07-15
4,Savage Love (Laxed - Siren Beat),Jawsh 685,202705,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c,2020-07-15
5,Chinita Girl,Lil Vinceyy,176485,https://open.spotify.com/track/6r7sdXUiKjgEx3I8GQRpSq,2020-07-15
6,Stuck with U (with Justin Bieber),Ariana Grande,160350,https://open.spotify.com/track/4HBZA5flZLE435QTztThqH,2020-07-15
7,Teka Lang,Emman,154314,https://open.spotify.com/track/47UUjZbqZjcrzELnFBB1Ht,2020-07-15
8,Malayo Ka Man,Jr Crown,148076,https://open.spotify.com/track/3R6Hl2e7hAyCfofRRToKAo,2020-07-15
9,KLWKN,Music Hero,143462,https://open.spotify.com/track/1pi3VCMlGVaXvrjlVOkBPN,2020-07-15
10,Intentions (feat. Quavo),Justin Bieber,143423,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV,2020-07-15
11,Mariposa,Peach Tree Rascals,138226,https://open.spotify.com/track/4ja2gzrNh9VNigzoXfmbwD,2020-07-15
12,Imahe,Magnus Haven,132572,https://open.spotify.com/track/65sEZZaxTjLMD8vNgPoMz5,2020-07-15
13,if this is the last time,LANY,119555,https://open.spotify.com/track/2ccNaerby1wXA993dY6XsR,2020-07-15
14,Someone You Loved,Lewis Capaldi,118566,https://open.spotify.com/track/7qEHsqek33rTcFNT9PFqLf,2020-07-15
15,Supalonely,BENEE,115299,https://open.spotify.com/track/4nK5YrxbMGZstTLbvj6Gxw,2020-07-15
16,Rain On Me (with Ariana Grande),Lady Gaga,111885,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9,2020-07-15
17,Don't Start Now,Dua Lipa,110567,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2020-07-15
18,Sunday Best,Surfaces,106828,https://open.spotify.com/track/1Cv1YLb4q0RzL6pybtaMLo,2020-07-15
19,ROCKSTAR (feat. Roddy Ricch),DaBaby,103112,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4,2020-07-15
20,death bed (coffee for your head) (feat. beabadoobee),Powfu,100910,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx,2020-07-15
21,ily (i love you baby) (feat. Emilee),Surf Mesa,98912,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS,2020-07-15
22,Binibini,Matthaios,98477,https://open.spotify.com/track/13pv5UWJttg8NNplCaaOYh,2020-07-15
23,Before You Go,Lewis Capaldi,96864,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP,2020-07-15
24,Monster,Red Velvet - IRENE & SEULGI,94935,https://open.spotify.com/track/6c1QaQHdDhtFMfUkhueuXK,2020-07-15
25,Sa Susunod na Habang Buhay,Ben&Ben,93058,https://open.spotify.com/track/3PgjBOoA5OytNGkglObpOd,2020-07-15
26,Lifetime,Ben&Ben,89943,https://open.spotify.com/track/3X9c4tBzSdGhlO4Fx3WYgW,2020-07-15
27,"I Will Be Here (Original Soundtrack from the movie ""Through Night And Day"")",Alessandra De Rossi,88924,https://open.spotify.com/track/6qCDsNEOnQ6uPG7m8gWUkW,2020-07-15
